с+A1:B23татус комментариев,Комментарии,"СoolServis, автосервис"
1,"Қызмет сапасы өте жақсы, жылдам.",
1,👍👍👍👍👍👍👍 жаксы жасайды екен тианакты барін.,
1,Тамаша жұмыс жасайды екен Сапарғали бауырыма рахмет. Жұмыс істеген соң осылай істеу керек 👍 жұмысыңның жемісін көр.,
1,"Бек мастер своего дела.! Без компьютера знает причину, определяет сразу а не методом тыка как во многих СТО. Причём специальзируется не только по газу но и по мотору.... Смело обращайтесь.",
1,"Жаксы жумыс жасайды,осындагы жыгыттер, Сапарғалидын камандамына улкен Рахмет.",
1,Ассалаумалейкум Бекзат бауырыма Рахмет өзі ісінің маманы мықты электрик сервис өте керемет көлікті сеніп тапсыруға болады 👍,
1,Бекжыгыт жарайсын жумысына Берык жаксы ыстиды екен рахмет Аллах разы болсын.,
1,"Ребята профессионалы своего дела ! Нашли проблему буквально за мин, мучался с этой проблемой больше полугода , при этом тратил кучу денег и нервов по всем мастерам города ! На данный момент проблему устранили и все работает идеально ! Отдельный Рахмет Сапаргали , профессионал и просто отличный парень !!!!!! Пишу отзыв после второй машины , которую купил супруге и установил газ уже у них !!! Все просто на высшем уровне ! Качество ! Цена ! Сервис !!!!!",
1,Осында газ койдым жаксы кояды екен Сапар молодец.,
1,Сапар молодец ешкім билмеген газдин проблемасын тауып берди жаксы жигиттер.,
1,"Ребята молодцы, решили проблему с двигателем, не могли решить долгое время, знают свою работу, Бегзат Рахмет!",
1,Ассалаумағалайкум жігіттер 1жыл бойы газбен проблема болды менде. Мында қалай келдім газбен проблема жоқ. Жұмыстарын жақсы.,
1,"Всем Ассалам Уагалейкум! Я как человек который при поиске сервиса по газу внимательно отношусь к отзывам, поэтому пишу следующее: Купил машину в Кокшетау Тойота Карина Е ., ГБО . поколения заехал в сервис по газу в Кокшетау при диагностике сказали МАП датчик затем фильтра не рабочие клапан после замены всего этого так и не заработал сказали борт.комп. руки опустились на тот момент было принято решение ехать в Астану на бензине приехав в Астану нашел данный сервис Эксперт по газу Бек начал производить поиски неисправности свою работу знает я уже на тот момент был морально подготовлен к замене комп. И косы и может чего нибудь ещё. Затем он нашел проблему это был провод который был очень далеко он был под всасывающим коллектором и двигателем очень труднодоступное место, он заметил что там есть обрыв. После замены данного провода и настройки системы ГБО машина заработала на газе я очень доволен что обратился в данный сервис и там работают компетентные сотрудники. В итоге сэкономил кучу времени и денег. В наше время хороших специалистов мало. Рекомендую всем!",
1,"Рахмет, все установили отлично 👍👌.",
1,Установили качественно быстро без колхоза советую ребята хорошие качество 👍.,
1,"У меня KIA K. заводской у наших заправках не подходить пистолет, поменяли все идеально.",
1,"Причинасын тауып машинамды ондап берди, Рахмет жигиттерге. Всем советую жаксы карайды.",
1,Ребята молодцы.,
1,Мастера самые лучшие.,
1,Маладцы установили качественно быстро Сапар красавчик.,
1,Очень грамотные ребята!!! Молодцы!!! Специалисты!!! Казактын жигиттери колдары алтын!!! Рахмет ✊✊✊.,
1,Қызмет көрсету жоғары деңгейде. Жігіттер керемет! Тиянақты түсіндіреді және жұмыстарыда сапалы.,
1,Әли өте ұқыпты жасайды. Әрі білімі зор жігіт. Рахмет Әли балам.,
1,Ребята молодцы сказали сделали! часов! Все работает четко! Рекомендую.,
1,Жақсы специалистер тез орнатты бәрін түсіндірді жақсы істептұр осы жігіттерде орнатуға кеңес беремін.,
1,Жигиттерге рахмет.машина троит етип туған еди. Грм ремень положениеси кетип калган болды. Натяжительмен грм ремень ауыстырып меткасымен койып берди. Машина жаксы болып калды. Рахмет улкен.,
1,Отличные мастера. Сделали быстро и оперативно. Как раз время было в обрез.,
1,Алла разы болсын!!! Істерің алга бассын!!! Рахмет!!!✊,
1,Машина трайттетип келген канша сто таппаган нарсени Сапар тапты красавчик.,
1,Газ устанавливали в другом месте и не смоги найти пришел сюда сразу сказали что где находится и сделали мне все понравилось буду теперь Тут обслуживаться спасибо стошнику Сопаргали!,
1,Осында газ кондырдым жумыстарына ризамын жаксы истейди.,
1,Обслуживание мне нравилос.,
1,"Форсунка жұғуздым, жұмысына риза болдым.",
1,Отличные мастера хорошо работают.,
1,Быстро установили и качественно объяснили грамотно.,
1,Қайырлы күн форсука тазалап көлігім жаңа дем алды сервиске рахмет Али өз ісінің маманы👍.,
1,"Установили газ, мастера на высшем уровне. Ни чуть не жалею👍 Всем советую.",
1,"Прочистили форсунки, очень круто, результат превзошол все ожидания... Сапаргали мастер от бога...)))",
1,"От души жиги💪👍🤝, жумыстарын жаксы жасайды! Багасыда жаксы👍👍👍.",
1,Өте тамаша жігіттер жақсылап істеп берді👍👍👍.,
1,Жаксы екен.,
1,"Огромное спасибо ребятам, момент решили мою проблему с автогазом, который не кто не смог решить мне эту проблему. Всем советую по проблеме с ГБО обращаться в этот сервис. Молодцы очень компетентные своей работе.",
1,"Ассалаумағалайкум жігіттер,осындағы жігіттер жауапкершілігі өте жоғары деңгейде екен Жұмыстарын дәл уақытта орындайды екен Жігіттер осында Газ орнатсаңдар болады,рахмет жігіттер сендерге Жұмыстарыңа сәттілік тілеймін.",
1,Отлично всё идеально ребята молодцы.,
1,"Спасибо ребятам огромное. Простая диагностика ГБО свего 2500, а показательно получилось все по своей машине узнал. Рекомендую всем. Мастер Бек отличный просто человек.",
1,"промыли форсунки со снятием, парни работают быстро, аккуратно, с душой! рекомендую однозначно!",
1,"Рахмет Алиға, электрикасын жондеп берді, еңбегің берекетті болсын👍.",
1,Красавчик бауырларым енбектерін жаңа берсін.,
1,"Базар жоқ, мамандар өте мықтты, Сапарғали бауырыма риза болдым. Рахмет.",
1,"Все четко!!! Рахмет пацанам!!! все объяснили, все разъяснили, все сделано на профессиональном уровне!!!!",
1,"От души жигиттер, быстро, шустро качественно сделали. Алла разы болсын. Не Астанавитесь 👍👍👍.",
1,"Команде Специалистов Огромное Спасибо, Не оставили в беде за это им большая благодарность, Даже не смотря на то что они уже были закрыты, Осталась вся команда и Сделали машину, Всем советую давно не встречал такой отличный сервис 👍👍👍👍👍.",
1,"Мастер Бек рахмет, газ косылмауынын себебин аныктап, сапалы жондеп берди, касындагы комекшисине де рахмет, есимин умытып калдым.",
1,Оте керемет жасайды... Рауан профессионал своего дела.,
1,Мастер Бегзат молодец быстро качественно саветую класс спасибо и цена не дорого.,
1,Быстро и оперативно. Всё грамотно объяснили и сделали всё аккуратно.,
1,Отлично быстро установили газ.,
1,"Рауан мастер вышего класа , мужики знают свое дело, рекомендую всем.",
1,"Парни это самая добросовестная,как есть самые лучшие парни тут. Заежал в многие сто по газу не могли найти причину ,забив в 2гис обратился к ребятам быстро среагировали нашли причину . Как есть как мужик мужикам советую. Рахмет джиги.",
1,ОТЛИЧНЫЙ АВТОСЕРВИС. ПАЦАНЫ МОЛОДЦЫ. В ЛЮБОЕ ВРЕМЯ НАЙДУТ ЛЮБУЮ ПРИЧИНУ ПОЛОМКИ. ВСЕ ПАЦАНЫ РАБОТЯГИ.,
1,"Өтте тамаша қызмет көрсетті,осындай қызмет болса барлық газды істейтіндерге өсиет.",
1,Почистили ине форсунки грамотно работает молодцы пацаны. Сапару отдельно спасибо знает свою работу.,
1,"Обратился за компьютерной диагностикой! Машина RAV 4 2021 г.в., из за обильного снега перестал работать AWD привод, обращался в несколько мест, потратил кучу бабла, все как один твердили поменять заднюю раздатку! Приехав сюда мне провели компьютерную диагностику, обнулили борт компьютер и все заработало! Так , что советую, обращайтесь!",
1,Рахмет жигиттер бари жаксы адеми аккуратно и айткан уакытында жумыстарын битирип береди.,
1,"РАХМЕТ ДЖИГИ КРАСАВЧИКИ . ЧЁТКО, КРАСИВО, АККУРАТНО !!!",
1,Алла разы болсын Рахмет жигиттер. Сапалы ари жылдам…,
-1,Несмогли наити причину и устранить в лице тупого Сапаргали. Содрали деньги 20 000 т. Поехал в другой сто там за пару часов нашли и устранили причину. А имено шпонка грм стоимостью 200 тенге. Вот и вес сервис. Несоветую к ним. Не профисон.,
-1,"Не рекомендую, в работниках нет порядочности. Испортили, за это взяли деньги. Проводили отмасками. В крайнем случае могут наехать.",
-1,Колдарынан боқ келмеиді бармандар кымбат болсада нормалный жерге жасатыңдар.,
1,Рахмет жигыттер мастерлер ге оддуши качественный работа установка дешевле и сервис хороший 👍 и запчасти дешевле очень качественно,
1,Отличный сервис!,пионер
1,Роман быстро выявил причину шума под капотом.,
1,Мастер Владимир быстро и качественно заменил все детали.,
1,Запчасти в оригинале в наличии.,
1,"Доволен, теперь буду обслуживаться только здесь.",
1,"Мастер Владимир знает свою работу, спасибо.",
1,"Если не ошибаюсь, мастера зовут Александр. Все отлично выставили и объяснили обо всех нюансах по моему автомобилю и дали отличные рекомендации как следить за своим автомобилем.",
1,"СТО достаточно хороший сервис по Субару, со своим складом, рекомендую.",
1,"Сделал ходовую часть, сервисом очень доволен, вежливые сотрудники, однозначно рекомендую 👍🏻.",
1,"Ассалямағалейкум! Машину загонял на диагностику двигателя Фольксваген таурег 2007г.в. Справились на отлично, причину устранили без проблем! Отдельный Рахмет мастеру приемщику Роману!",
-1,"23 апреля обратился в приёмку по гарантии. Олег сказал, поменяем бесплатно ступичный подшипник, купленный в автотехцентре “Пионер”. Его нужно заказать, т.к. его не было в наличии, попросили приехать завтра. Это значит, что за работу и запчасть оплачивать не нужно. На следующий день Олег отказался от своих слов, сказав, что нужно оплатить за работу. Таким образом Ваш сотрудник негативно влияет на хорошую автосферу престижного автосервиса и отторгает клиентов. Нужно работать на клиента и ради дохода СТО.",
1,Огромный респект и уважение руководителю данного техцентра- Левану!,
1,"В кратчайшие сроки устранили все неполадки, связанные с автомобилем!",
1,Леван сам лично контролировал все ремонтные работы моего автомобиля.,
1,Обратная связь на высочайшем уровне!,
1,"После всех работ позвонил и поинтересовался, все ли нормально с автомобилем!",
1,Однозначно рекомендую этот техцентр!,
1,Хочу выразить свою благодарность слесарю Хазбуле (Рафаэлю) качественный и быстрый ремонт автомобиля!,
1,"Мастер хороший, знает своё дело, смело можно доверить свою ласточку!",
1,Обслуживание на высшем уровне!,
1,"Хорошее сто,ребята молодцы все на высшем уровне 💪",
1," Спасибо, Абзал, за теплые слова!!! Обращайтесь ",
1,"Обслуживаю 2 машины уже 4 года , мастера - специалисты знающие свое дело . Отличное СТО. Сделали все быстро, качественно, профессионально. Очень все адекватно по цене. Рекомендую.",
1,"Добрый день! Спасибо, Жасулан, за такой приятный отзыв, Будем стараться и дальше",
1,"Сервис на высшем уровне ,мастера толковые Меняю расходники только тут",
1,"Лучший автосервис в городе Астана 🙂 очень тщательно осмотрят ваш транспорт, оценят состояние и сделают все на высшем уровне) самый честный отзыв 👌👌👌",
1,"Молоды ребята, свое дело знают, в любой непонятной ситуации с машиной помогут 👍 Хотите обслужить свое авто в хорошем месте, можете заезжать смело",
1,Отличное сто !!! Мастера молодцы !!! Обслуживание на высшем уровне !!!,
1,"Обслуживаюсь в этом сервисе.Отличное обслуживание,подход к клиентам.Всем советую!",
1,Здравствуйте отличный сервис ! Хочу выразить свою благодарность слесарю Хазбуле (Рафаэлю) качественный и быстрый ремонт автомобиля !,
1,"Огромный респект и уважение руководителю данного техцентра- Левану! В кратчайшие сроки устранили все неполадки, связанные с автомобилем! Леван сам лично контролировал все ремонтные работы моего автомобиля. Обратная связь на высочайшем уровне! После всех работ позвонил и поинтересовался, все ли нормально с автомобилем! Однозначно рекомендую этот техцентр! Спасибо Вам за Вашу работу",
-1,"Уже второй раз данное СТО не может выполнить нормально требуемые работы. Заезжал что бы найти стук и сразу диагностику ходовой, по ходовой насчитали работу с запчастями на 290 000 тенге. А что стучит не сказали. Не советую данное СТО, складывается такое впечатление, что там принцип покупай у нас запчасти и мы тебе все поменяем и стук возможно пропадет. Год назад у них менял сайленблоки ставил оригинал, год не прошел они говорят опять под замену их же. На вопрос , вы же их меняли в прошлом году ответили что значит была подделка. Как то так",
1,"Хорошее обслуживание, грамотные мастера, специалисты по Субару",
1,Сервис с идеальным обслуживанием✨,
1,"Мастер приёмщик Роман просто профессионал,после общения с такими людьми,появляется желание обслуживаться только тут,спасибо,заеду ещё)))",
-1,"Взяли деньги не смогли диагностику провести, запчасть ждал месяц которого не оказалось",
1,"Просто огонь для Subaristov, чисто, удобно и комфортно",
1,"Отличный сервис , объездил 4 СТО в поиске решения проблемы с вибрацией на 70км/ч. Приехал в нужное место , спасибо мастеру Витале , и менеджеру Валерию . Нашли проблему, запчасть в наличии . Устранили. Уехал довольный , теперь только сюда. Субару легаси 2009 года .",
1,"Отличный центр, вежливый персонал, опытные специалисты. Ребята работают оперативно и слаженно 👍👍",
1,Специалисты своего дела. Работают аккуратно и на качество. Цены ниже чем у официальных дилеров.,
1,Качественная работа !,
1,Отличный сервис👍🏻,
1,"Отличные ребята,работают шустро знают свое дело!",
1,"Не первый год знаком с сто. Раньше обслуживал машины только в Барсуке. Теперь и места больше, и магазин побогаче. Цены всегда на уровне средних по городу. Но мастера знают про машину больше, чем другие. И это видно по качеству работы. Удобнее всего что сразу и магазин, и слесаря, и компания классная - все в одном месте.",
1,"Здравствуйте. Нашли проблему быстро устронили сразу. Лучший сервис который видел . Подход профессионалов чувствуется,а главное свое дело знают. Уехал довольный. Советую товарищи автомобилисты",
1,"Отличный сервис , быстро и качественно! Спасибо за проведенные работы!",
1,"Обслуживал свою машину много где. Но после сервиса на этом сто, решил, что искать кого-то уже не стоит. Все в одном месте. И запчасти, и мастера без гонора и понтов. Делали всегда все вовремя, быстро. Не приходилось еще ни разу возвращаться, всегда машина обслужена. Цены как у всех в среднем, не дорого. Но при этом за качество не боишься, запчасти почти всегда в наличии",
1,Отличные мастера приятный сервисе,
1,"Все супер, быстро и профессионально 👍🏻",
1,Все было хорошо! Но мы ждали очередь на Тиски! Купите пожалуйста вторые Тиски!,
1,"Бул тут всё супер, быстро и качественно 👍",
-1,"Выяснилось, что сломался редуктор, но у меня забрали родной бак для воды и заменили его битым баком для воды и сняли 100 000,(чеха китайский",
1,Отличный сервис. Клиентоориентированность на высоте 👍🏼,
1,"Работают быстро, цены приемлемые. Персонал вежливый.",
1,Быстро четко качественно,
-1,"Изначально уехал относительно довольным... но потом УЖАС! Я заехал на плановое ТО и сразу обозначил мастерам, что еду далеко, еще 4 тысячи км дороги впереди. Мне заменили масло без промывки двигателя (до сих пор не знаю, правильно ли это), затем нашли несколько проблем, которые сходу заменили... вышло это конечно в копеечку, но сделали быстро. Честно, я в машине не особо ""техник"", поэтому привык доверять профессионалам. Раз сказали надо, значит надо. Надеюсь это не был развод на пару десятков тысяч с целыми деталями. НАДЕЮСЬ.",
1,"Хорошие специалисты, рекомендую",
1,Ничего не знают,
1,"Заехал к ним на кап ремонт двигателя, выяснилось что двигатель не пригоден для ремонта, оперативно заменили двигатель, работой доволен , все помыли ,по чистили, установили, по времени молодцы быстро уложились, мастер Виталя отдельное спасибо ему доволен работой !!!",
1,"Заехал как то, больше не заеду. Своим не посоветую",
1,"Не хотел писать, но придется. Купил машину у одного человека, который показал мне документ с печатью этого сервиса, что такие-то работы были сделаны. Уже через 4 месяца после покупки обслуживался в этом же сервисе и установил, что работы эти вообще не делались. На бумагу с их же печатью смотрели скептически. ",
1,Ребята знают своё дело и лишнее не накидывают.,
0,Не дёшево,
-1,Не рекомендую в паривают всё что не нужно придумавают или же не понимают,
1,Отличные специалисты и мастера своего дела! Нашли и устранили неполадку!,
-1,"Машина регулярно обслуживается, меняются масла только тут, к сервису вопросов нет. Но почему на запчастях сидят пассивные сотрудники? Как не позвонишь, только сухое «да» и «нет». Ни объяснений и разъяснений по запчастям. В чем проблема быть более приветливыми с клиентами? Тем более которые обслуживаются у вас?",
-1,Не рекомендую впаривают свои запчасти,
-1,"Раньше ездил сюда постоянно и рекомендовал данное сто. Но в последний раз меня обманули. Ни кому больше не рекомендую сюда ездить. А если и попали сюда, то проверяйте все досканально!",
1,"Доброго Дня, Всем! Ребята огромное Вам спасибо за автомобиль! Субару капризная машина, но к ней ВЫ нашли подход !",
-1,Не дозвонишься зачем телефоны указывать тогда,
1,"Ребята знают чем занимаются. Грамотный подход. Не все сделано, но машина стало намного лучше. Поменяли свечи, промыли форсунки, замена подшипника хотя ещё не гудел, ремонт кардана с заменой крестовины и по мелочам, сайлентблоки. Рекомендую! Коллективу желаю расширение и процветания! Побольше сервиса, побольше довольных клиентов! Отдельное спасибо Илиясу, Валерию, и тому кто делал ходовку (имя не помню, сорри). Үлкен рахмет, жігіттер!",
-1,Цены здесь не реальные свечи поменять за 10тыс. Если честно я в .... Теперь туда точно не пойду.,
1,Мастера и механики молодцы знают своё дело советую.,
1,"Приветливый, профессиональный персонал. Постоянно здесь обслуживаю outback. Ценно то, что ребята работают честно, дорожат доверием клиента. Это очень редко встречал в Астане. Недавно делал кап.ремонт двигателя. Мастер Сергей очень ответственно выполняет всю работу. И что важно: оперативно! Обкатку прошел. Всё хорошо. Электрик Григорий сделал перепрошивку двигателя под euro 2. Результат позже напишу. Пока все нормально. Ребята в магазине тоже оставляют самое приятное впечатление своим профессианализмом и вежливостью. С мастером-приемщиком Сергеем Витальевичем можно посоветоваться по техническим вопросам и выбрать оптимальные варианты ремонта. Сервис рекомендую всем субаристам.",
1,Высокопрофессиональный автосервис по субару.Сервис высочайший. Очень быстро и квалифицированно.Хочу поблагодарить Всю Команду мастеров и менеджеров(Валерия и Виталия).,
1,"Меняли прокладки, сальники идт на двигателе. При замене повредили радиатор, восстановлению не подлежал. Хочу по благодарить администрацию сервиса за то что взяли расход нового радиатора на себя.",
1,Среди всех сервисов профильных по автомобилям марки субару - этот оказался самым приемлемым. Специалисты точно знают о чем разговаривают и что рекомендуют. Знания в работе явно имеют под собой не один год опыта. ,
1,"Отличный автосервис. Профессионалы, дельные советы, можно положиться на все 100. Сергей, спасибо за внимательное отношение. Елена",
1,"Отличный автосервис, профессионалы.",
1,"На обслуживании в этом центре я, моя жена и моя мама. Центр на высоте!",
1,"Классный автоцентр, опытные специалисты, дружелюбный персонал!",
1,Заблокировался руль. Помогли выявить и устранить проблему. Сделали всё быстро и качественно. Остались довольны.,
1,"Качество отличное, давно обслуживаем авто здесь! Всегда персонал отзывчивый! Рекомендую!",
1,"Качественный автосервис, адекватные расценки. Не обманули",
1,"Делал в сервисе небольшой ремонт двигателя и по мелочи ещё, к работе претензий нет, всё чётко сделали. По стоимости средне, есть и дороже. Главное, что делали не долго и всё работает как надо.",
1,"Я доволен грамотной консультацией менеджеров и конкурентными ценами, которые полагаются по сравнению с другими конторами. Удобно, быстро, нет никакой волокиты. Рекомендую!",
1,"Обращалась в данный автосервис для планового техобслуживания. Все прошло хорошо. Мастера грамотные. Посоветовали отличное маточное масло! Работу сделали быстро, стоит вполне доступно. Планирую обращаться сюда регулярно. И друзьям рекомендую!",
1,На днях появился запах топлива в салоне. Не мог понять откуда. К поискам привлек знакомых - не получилось выяснить откуда. Заехал на ТО. Объяснил проблему. В ремзоне за пол часа нашли причину и устранили. Слетел хомут с топливного шланга. Теперь советую всем ездить только сюда.,
1,Постоянно там прохожу тех. обслуживание. Всём доволен. Персонал всегда идёт навстречу. Рекомендую. Всегда можно записаться по телефону,
1,"Обслуживание на высоте) Провели техосмотр, доволен. Цены хорошие, да еще и рядом с домом. Рекомендую!",
1,"Качественный автосервис с приемлемыми ценами. Администраторы-красавицы, мастера-орлы",
1,"К ним уже несколько лет езжу, и по ремонту, и по ТО. Приноровилось, другие сервисы уже не то, некомфортно. Тут удобный график работы, хорошие мастера, в чем я еще ни разу не сомневался, адекватные цены. Меня всё устраивает",
1,"Очень понравился сервис. Отличное обслуживание, качество работы. Ас своего дела мистер Мэнг.",
1,"Отличная автомастерская! Быстро и качественно произвели замену тормозных дисков, масла ДВС и тормозной жидкости. Цены приемлемые",
1,"Хороший сервис, обслуживаю уже третий свой автомобиль! Можно доверится не только опытным мастерам, но и молодежи тоже! Мистеру истер Мэнгу отдельный респект.",
1,По соотношению цена/качество считаю неплохо,
1,В данном автосервисе быстро заменили масло в моем авто. Отдельное спасибо мастеру Мэнгу.,
1,"Хороший сервис, без понтов, хорошие мастера и цены приятные",
1,"Отличный автосервис! Проходил тут техосмотр перед постановкой авто на учёт. Всё корректно проверили, выявленные недостатки тут же устранили (с моего согласия). Всё получилось отлично!",
1,"Работы были выполнены оперативно и качественно, цены адекватные. Рекомендую как надежный автосервис!",
1,"Мне все понравилось. И ТО пройти можно и сразу починиться, если что не так. Принимают быстро. Приятно, что все вежливые. Спасибо за работу",
1,"Хорошее место, два раза делал диагностику ходовой на стендах, все нормально",
1,"Все отлично сделали все быстро а главное уважительно и без всяких заморочек, рахмет",
1,"Обслуживаю свою машину только здесь, всегда приезжаю сюда, здесь все работники опытные, и хорошо знают свою работу.",
1,"Бываю в этом автосервисе при каждой поломке, так как проживаю рядом и удобно ездить именно сюда. Не жалею, что однажды случайно заехал именно к ним, чтобы устранить проблему со стеклоподъемниками. Радует приветливый персонал и доступность цен",
1,"Хороший сервис с удобным расположением. Персонал мастерски относится к ремонту авто. У меня Хендай и любой ремонт делаю только тут. Вот, последний случай был с неисправностью печки. Все починили и устранили. Я в тепле и с хорошим настроением выехал от них. Спасибо!",
1,"Чистота, вежливость персонала, обслуживание авто на вышем уровне, мне нравиться, кто не был советую их",
1,"Очень хороший автокомплекс, приятный и веселый персонал помогли за 5 минут найти идеальное решение моего вопроса! Буду обращаться только к вам, спасибо большое!",
1,Хотелось бы отметить что мистер Meng ￼ очень добрый и открытый человек. ￼ также профессионал своего дела. Рахмет,
1,"Сервис хороший, быстро подклеили трещину в стекле и сразу машину получилось помыть",
1,"Нареканий нет. Так получилось, что рулевые наконечники, которые я привез, не подошли. Администратор сам съездил и купил подходящие.",
1,"Качественно👍, Недорого...по сравнению с конкурентами.",
1,"Очень грамотные и быстро работающие мастера, мастер Мэнг, который запоминает вас и вашу машину после первого ремонта. Не предлагают ничего лишнего, в отличие от конкурентов. Вежливая администратор на ресепшене. Думан, Хонда CR-V.",
1,"Отличный автосервис, с большим комплексом услуг, хорошими ценами и профессионалами своего дела. Удобное расположение. Обсуживаюсь у них уже больше четырех лет! ни разу не подводили!",
1,"Хороший сервис, делают работу быстро и качественно. Хорошие специалисты. Надо записываться заранее",
1,"Удобная автомойка, мойщики работают на совесть, в отражении машины вижу себя)",
1,"Очень оперативно решили вопрос, помогли найти неисправеость, качеством услуг доволен",
1,Отличный сервис и персонал. На все вопросы готовы ответить. Всей фирмой ремонтируем машины. Никаких нареканий.,
1,"Цена дешевле, мастера старается и бистро и качество. В любой время приедешь принимают сразу. И сам глазами видишь как твоя машину ремонтирует, короче всё от души",
1,"Удобное место расположение Скорость работы и качество выполненных работ на высшем уровне, молодцы!",
1,"Качественный сервис, приемлемые цены, быстрое обслуживание. У меня 2 машины были, всегда ездил только сюда. Сейчас пересел на мерс, но все равно езжу сюда, хотя бы делать перекидку колёс.",
1,Оте кушты мастер.Естонын ортасы сондай таза. Озымей келып турамын,
1,Шикарно все быстро качественно 😎,
1,"Отличный сервис, лишнее не накручивают, персонал профессиональный подход, меняют при владельце авто, молодцы делают на совесть",
1,"Быстро, качественно, недорого! Мастер опытный. Чистота порядок царит!",
1,Адекватные цены на мойку. Моют без разводов. Удобно что есть запись,
1,"Очень хороший авто сервис, работают профессионалы. Ребята всегда делают машинки быстро и качественно, МОЛОДЦЫ СПАСИБО И ПРОЦВЕТАНИЯ СЕРВИСУ!",
1,"Мастера знают свои дело, быстро качественно и не навязывают лишнего, всё по делу, приеду ещё однозначно. Рекомендую",
1,"Отличный сервис, быстро качественно))) обслуживание в порядке живой очереди, приезжать лучше не позднее 17:00 а то можно не успеть)",
1,"Всем советую! Сделали быстро, качественно. Персонал вежливый, всё доходчиво объяснили, выявили причину поломки и всё сделали. В общем я доволен.",
1,"Отличный сервис, специалисты выполняют работу быстро и качественно, рекомендую!",
1,"Отличный сервис. Продажу обслуживание не первый раз. Делают на высоком уровне, нареканий нет. Компитентный персонал",
1,"Отличный подход к каждому клиенту, через них один раз даже эвакуатор вызвал) Рекомендую!",
1,"Хороший сервис, работают отличные мастера. Удобное расположение. Вежливый персонал. Есть комната ожидания. Продолжу обслуживание здесь. Рекомендую👍🏽",
1,"Отличный автосервис, починили все быстро, вежливый персонал! Отдельное спасибо Мистеру Мэнгу!",
-1,СТОдағылар защитамды зорға жинап берді ғой,
1,"Отличный сервис! Хорошее обслуживание, сделали качественно, лишнего не взяли👌😄 Всем рекомендую, если ремонт автомобиля - только сюда!",
1,"Заехали с женой поменять масло с фильтром на Киа Рио, сделали быстро. В целом нам понравилось",
1,"Сервис хороший, ребята на все вопросы отвечают, доверие вызывают, есть гарантия на услуги",
1,"Отличный автосервис, всё понравилось, хорошие специалисты, есть комната отдыха. Рахмет за сервис",
1,"Понравился сервис, приветливый персонал, чисто, аккуратно. Сделали ТО, замена масла, фильтров. Рекомендую!",
1,Не первый раз заезжаю. Всем рекомендую,
1,"На днях попути заехал на мойку. Пока мыли машину, в зале ожидания на банере увидел услуги по СТО. После консультации с мастером, через день пригнал машину на сервис и через день забрал как новую. За день с лишним поменяли цепь ГРМ, поменяли прокладку крышки движка, заменили фильтр кондиционера, провели замены всевозможных масел и сделали диагностику по электронике. Спасибо всему персоналу сервиса 🫶 Топовый автосервис с отличной мойкой, и лучшим СТО в Астане! Сервис и качество за минимальные сроки в сочетании лучшей цены. Так держать, ЧТЖ 🙌",
1,"Отличное обслуживания, менял масло ланд крузер! Хороший персонал",
1,"Отличный автосервис, починили все быстро! Отдельное спасибо админу Бирлик!",
1,"Заехала сделать машину, работу произвели быстро и качественно. Отдельное Спасибо мастеру Мэнгу, Видно, что хорошо разбирается в машинах. Быстро нашёл проблему и устранили ее. Вежливый и приятный человек.",
1,"Отличный автосервис, рекомендую. Всё знают с толком, помогли реанимировать машину. Дали разъяснения, лишнего не потребовали. Успехов в дальнейшей работе 👍",
1,"Был на диагностике автомобиля! Супер сервис, оставлял машину на диагностику! Все сделали четко, показали, рассказали что и как!",
1,"Отличные, добросовестные мастера, помогли разобратся иустранить неполадки на мерс 221",
1,Оте керемет кызмет корсекеніңі рахмет,
1,Нурахмед красавчик машинаны тема гып жуыпсын молодец от души,
1,"Сломалась машина. Приехал в автосервис . Быстро нашли причину поломки. Персонал очень вежливый. Есть комната отдыха. Пока ждёшь можно попить кофе, чай. Очень доволный остался и по деньгам не дорого)",
1,Уже не первый год обслуживаю здесь свои машины! Спасибо ребятам за качественную работу! Хотелось конечно бы ввести такси до дома😉,
1,"Сервис хороший, не дёшево, но качественно. Запчасти в наличии. Довольно быстро сделали.",
1,Өте керемет көлік жуатын орын! Көлік жуғыш Нұрахмет 👍🏻👍🏻👍🏻 рахмет😁🤗. Lx570🏄🏻,
1,"Отличный автосервис, рекомендую. Всё знают с толком, помогли реанимировать машину и разуться на лето Дали разъяснения, лишнего не потребовали. Успехов в дальнейшей работе 👍",
1,"Отличный, добросовестный коллектив мастеров, помогли разобратся и устранить неполадки на бмв 530",
1,"Качественное и профессиональное обслуживание, Все быстро и чётко налажено осмотрели и отремонтировали все что нужно после рувой нашей зимы)",
1,"Шикарная автомойка, чисто, качественно быстро, автомойщик Нурахмет Рахмет тебе !!! Хорошо помыл, буду почаще к Вам обращаться ! Істеріне сәттілік…",
1,"Отличный автосервис, качественное и быстрое обслуживание, по записи нет очередей, проверили ходовую, нашли проблемы, мастер все обьяснил. Буду ремонтироваться у вас. Рекомендую!",
1,"Современный, удобный сервис. Квалифицированный, профессиональный персонал. Рекомендую.",
1,"Все отлично, регулярно приезжаю на т.о, дружный коллектив на все вопросы отвечают вежливо, всегда найдут свободное время для моего авто))) Весь процесс ремонта можно просматривать, спасибо, рекомендую!!!",
1,"Внутрий чисто,все красиво но мойка оставляет желать лучшего.",
